"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
30;"Henrique Araújo";"PT";"Benfica ";"FW";20;2002;1;0;9;"0,10";0;0;0;0;0;0
41;"Fredrik Aursnes";"PT";"Benfica ";"FW,MF";26;1995;10;7;620;"6,89";0;0;0;6;2;2
45;"Alexander Bah";"PT";"Benfica ";"DF";24;1997;8;8;654;"7,27";1;0;0;9;8;0
124;"Chiquinho";"PT";"Benfica ";"MF";27;1995;9;4;404;"4,49";0;0;0;3;7;1
181;"Julian Draxler";"PT";"Benfica ";"MF";28;1993;3;0;32;"0,36";0;0;0;0;0;0
206;"Enzo Fernández";"PT";"Benfica ";"MF";21;2001;5;5;427;"4,74";3;0;0;15;4;0
235;"Gilberto";"PT";"Benfica ";"DF";29;1993;5;2;201;"2,23";1;0;0;2;3;0
243;"Diogo Gonçalves";"PT";"Benfica ";"FW,MF";25;1997;4;0;40;"0,44";0;0;0;2;2;0
255;"Álex Grimaldo";"PT";"Benfica ";"DF";26;1995;10;10;900;"10,00";0;0;0;3;5;1
258;"Gonçalo Guedes";"PT";"Benfica ";"FW,MF";25;1996;2;0;43;"0,48";0;0;0;0;1;2
392;"Florentino Luís";"PT";"Benfica ";"MF";22;1999;10;10;859;"9,54";2;0;0;12;1;0
408;"João Mário";"PT";"Benfica ";"FW";29;1993;10;10;861;"9,57";2;0;0;8;9;1
461;"Morato";"PT";"Benfica ";"DF";21;2001;2;1;107;"1,19";0;0;0;1;1;0
473;"Petar Musa";"PT";"Benfica ";"FW";24;1998;5;0;129;"1,43";1;0;0;3;0;0
481;"David Neres";"PT";"Benfica ";"FW,MF";25;1997;9;4;444;"4,93";2;0;0;8;8;3
484;"João Neves";"PT";"Benfica ";"FW,MF";17;2004;3;0;29;"0,32";0;0;0;0;0;0
508;"Nicolás Otamendi";"PT";"Benfica ";"DF";34;1988;9;9;793;"8,81";3;0;0;9;6;0
538;"Rodrigo Pinho";"PT";"Benfica ";"FW";31;1991;2;0;15;"0,17";0;0;0;1;1;1
549;"Gonçalo Ramos";"PT";"Benfica ";"FW";21;2001;10;10;712;"7,91";2;0;0;11;10;2
599;"Andreas Schjelderup";"PT";"Benfica ";"FW";18;2004;1;0;2;"0,02";0;0;0;0;0;0
609;"António Silva";"PT";"Benfica ";"DF";18;2003;10;10;894;"9,93";1;0;0;6;2;0
611;"Rafa Silva";"PT";"Benfica ";"MF";29;1993;10;10;819;"9,10";1;0;0;3;19;3
696;"Lucas Veríssimo";"PT";"Benfica ";"DF";27;1995;2;0;6;"0,07";0;0;0;1;0;0
700;"Odisseas Vlachodimos";"PT";"Benfica ";"GK";28;1994;10;10;900;"10,00";0;0;0;0;0;0
